0 100 200 300 400 
0.1 100 200 300 400 
0.2 100 200 300 400 
0.3 100 200 300 400 
0.4 100 200 300 400 
0.5 100 200 300 400 
0.6 100 200 300 400 
0.7 100 200 300 400 
0.8 100 200 300 400 
0.9 100 200 300 400 
1 100 200 300 400 
1.1 100 200 300 400 
1.2 100 200 300 400 
1.3 100 200 300 400 
1.4 100 200 300 400 
1.5 100 200 300 400 
1.6 100 200 300 400 
1.7 100 200 300 400 
1.8 100 200 300 400 
1.9 100 200 300 400 
2 100 200 300 400 
2.1 100 200 300 400 
2.2 100 200 300 400 
2.3 100 200 300 400 
2.4 100 200 300 400 
2.5 100 200 300 400 
2.6 100 200 300 400 
2.7 100 200 300 400 
2.8 100 200 300 400 
2.9 100 200 300 400 
3 100 200 300 400 
3.1 100 200 300 400 
3.2 100 200 300 400 
3.3 100 200 300 400 
3.4 100 200 300 400 
3.5 100 200 300 400 
3.6 100 200 300 400 
3.7 100 200 300 400 
3.8 100 200 300 400 
3.9 100 200 300 400 
4 100 200 300 400 
4.1 100 200 300 400 
4.2 100 200 300 400 
4.3 100 200 300 400 
4.4 100 200 300 400 
4.5 100 200 300 400 
4.6 100 200 300 400 
4.7 100 200 300 400 
4.8 100 200 300 400 
4.9 100 200 300 400 
5 100 200 300 400 
5.1 100 200 300 400 
5.2 100 200 300 400 
5.3 100 200 300 400 
5.4 100 200 300 400 
5.5 100 200 300 400 
5.6 100 200 300 400 
5.7 100 200 300 400 
5.8 100 200 300 400 
5.9 100 200 300 400 
6 100 200 300 400 
6.1 100 200 300 400 
6.2 100 200 300 400 
6.3 100 200 300 400 
6.4 100 200 300 400 
6.5 100 200 300 400 
6.6 100 200 300 400 
6.7 100 200 300 400 
6.8 100 200 300 400 
6.9 100 200 300 400 
7 100 200 300 400 
7.1 100 200 300 400 
7.2 100 200 300 400 
7.3 100 200 300 400 
7.4 100 200 300 400 
7.5 100 200 300 400 
7.6 100 200 300 400 
7.7 100 200 300 400 
7.8 100 200 300 400 
7.9 100 200 300 400 
8 100 200 300 400 
8.1 100 200 300 400 
8.2 100 200 300 400 
8.3 100 200 300 400 
8.4 100 200 300 400 
8.5 100 200 300 400 
8.6 100 200 300 400 
8.7 100 200 300 400 
8.8 100 200 300 400 
8.9 100 200 300 400 
9 100 200 300 400 
9.1 100 200 300 400 
9.2 100 200 300 400 
9.3 100 200 300 400 
9.4 100 200 300 400 
9.5 100 200 300 400 
9.6 100 200 300 400 
9.7 100 200 300 400 
9.8 100 200 300 400 
9.9 100 200 300 400 
10 100 200 300 400 
10.1 100 200 300 400 
10.2 100 200 300 400 
10.3 100 200 300 400 
10.4 100 200 300 400 
10.5 100 200 300 400 
10.6 100 200 300 400 
10.7 100 200 300 400 
10.8 100 200 300 400 
10.9 100 200 300 400 
11 100 200 300 400 
11.1 100 200 300 400 
11.2 100 200 300 400 
11.3 100 200 300 400 
11.4 100 200 300 400 
11.5 100 200 300 400 
11.6 100 200 300 400 
11.7 100 200 300 400 
11.8 100 200 300 400 
11.9 100 200 300 400 
12 100 200 300 400 
12.1 100 200 300 400 
12.2 100 200 300 400 
12.3 100 200 300 400 
12.4 100 200 300 400 
12.5 100 200 300 400 
12.6 100 200 300 400 
12.7 100 200 300 400 
12.8 100 200 300 400 
12.9 100 200 300 400 
13 100 200 300 400 
13.1 100 200 300 400 
13.2 100 200 300 400 
13.3 100 200 300 400 
13.4 100 200 300 400 
13.5 100 200 300 400 
13.6 100 200 300 400 
13.7 100 200 300 400 
13.8 100 200 300 400 
13.9 100 200 300 400 
14 100 200 300 400 
14.1 100 200 300 400 
14.2 100 200 300 400 
14.3 100 200 300 400 
14.4 100 200 300 400 
14.5 100 200 300 400 
14.6 100 200 300 400 
14.7 100 200 300 400 
14.8 100 200 300 400 
14.9 100 200 300 400 
15 100 200 300 400 
15.1 100 200 300 400 
15.2 100 200 300 400 
15.3 100 200 300 400 
15.4 100 200 300 400 
15.5 100 200 300 400 
15.6 100 200 300 400 
15.7 100 200 300 400 
15.8 100 200 300 400 
15.9 100 200 300 400 
16 100 200 300 400 
16.1 100 200 300 400 
16.2 100 200 300 400 
